date,target
2021/4/7,69
2021/4/8,45
2021/4/9,45
2021/4/10,69
2021/4/11,69
2021/4/12,65
2021/4/13,65
2021/4/14,45
2021/4/15,45
2021/4/16,45
2021/4/17,45
2021/4/18,69
2021/4/19,45
2021/4/20,45
2021/4/21,45
2021/4/22,69
2021/4/23,69
2021/4/24,45
2021/4/25,45
2021/4/26,85
2021/4/27,44
2021/4/28,43
2021/4/29,44
2021/4/30,43
2021/5/1,0
2021/5/2,48
2021/5/3,70
2021/5/4,65
2021/5/5,65
2021/5/6,65
2021/5/7,65
2021/5/8,65
2021/5/9,45
2021/5/10,45
2021/5/11,45
2021/5/12,45
2021/5/13,45
2021/5/14,45
2021/5/15,45
2021/5/16,45
2021/5/17,45
2021/5/18,45
2021/5/19,45
2021/5/20,45
2021/5/21,41
2021/5/22,45
2021/5/23,69
2021/5/24,45
2021/5/25,41
2021/5/26,69
2021/5/27,45
2021/5/28,69
2021/5/29,45
2021/5/30,69
2021/5/31,45
2021/6/1,49
2021/6/2,61
2021/6/3,69
2021/6/4,41
2021/6/5,69
2021/6/6,69
2021/6/7,45
2021/6/8,45
2021/6/9,45
2021/6/10,45
2021/6/11,45
2021/6/12,45
2021/6/13,61
2021/6/14,45
2021/6/15,69
2021/6/16,61
2021/6/17,45
2021/6/18,61
2021/6/19,45
2021/6/20,45
2021/6/21,45
2021/6/22,65
2021/6/23,45
2021/6/24,45
2021/6/25,65
2021/6/26,45
2021/6/27,61
2021/6/28,45
2021/6/29,45
2021/6/30,45
2021/7/1,45
2021/7/2,45
2021/7/3,45
2021/7/4,65
2021/7/5,45
2021/7/6,45
2021/7/7,45
2021/7/8,45
2021/7/9,45
2021/7/10,45
2021/7/11,69
2021/7/12,45
2021/7/13,45
2021/7/14,45
2021/7/15,45
2021/7/16,61
2021/7/17,61
2021/7/18,65
2021/7/19,45
2021/7/20,45
2021/7/21,45
2021/7/22,45
2021/7/23,45
2021/7/24,45
2021/7/25,65
2021/7/26,45
2021/7/27,45
2021/7/28,45
2021/7/29,61
2021/7/30,45
2021/7/31,45
2021/8/1,69
2021/8/2,65
2021/8/3,45
2021/8/4,45
2021/8/5,45
2021/8/6,45
2021/8/7,61
2021/8/8,65
2021/8/9,45
2021/8/10,45
2021/8/11,65
2021/8/12,45
2021/8/13,45
2021/8/14,45
2021/8/15,45
2021/8/16,45
2021/8/17,45
2021/8/18,45
2021/8/19,45
2021/8/20,45
2021/8/21,45
2021/8/22,69
2021/8/23,45
2021/8/24,45
2021/8/25,45
2021/8/26,45
2021/8/27,45
2021/8/28,65
2021/8/29,45
2021/8/30,45
2021/8/31,45
